Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Charges Per Month,Num Services,Tenure Group,High Value Customer,Auto Payment,Churn Probability,SHAP Magnitude,Actual Churn,Risk Tier
1,1,1,0,-1.038161792198114,1,1,0,0,0,0,0,0,0,1,0.3325290982832165,-0.7948279053722519,0,1,0,0,0,1,0,0.0484454568921263,2,0,0,0,0.8867,0.1219,0,High
1,1,0,0,-0.5490290431570309,1,0,0,0,1,0,1,1,0,1,1.03263547251346,-0.2245316437623179,0,1,0,0,1,0,0,0.9754286843283424,4,1,1,1,0.4411,0.183,1,Medium
0,0,0,1,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,-0.6286620758381146,-0.9886399563723248,1,0,0,0,0,0,1,-1.1884075179590283,1,0,0,0,0.4937,0.1925,1,Medium
0,0,0,0,0.1439090179845032,1,0,1,1,1,1,1,1,1,0,0.6983804102325122,0.3162053020793373,1,0,0,1,0,0,0,0.7220182552983289,7,2,0,1,0.1036,0.1659,0,Low
0,0,1,0,1.5297851402675715,1,0,1,1,1,1,0,1,1,0,0.3075846906503099,1.295081897017674,1,0,0,0,1,0,0,0.4715620929279911,6,3,0,1,0.4619,0.1302,0,Medium
0,1,0,0,0.3069532676648642,1,1,0,0,1,1,1,1,1,1,1.2937202724045482,0.8389419481695627,0,1,0,0,1,0,0,1.4106906388539877,6,2,1,1,0.3773,0.1832,0,Medium
0,0,0,0,-1.1604449794583849,1,0,0,0,0,0,0,0,0,0,-1.4767719353569364,-0.9723602735088996,0,0,1,0,1,0,0,-1.398816954498198,1,0,0,1,0.132,0.1916,0,Low
1,0,0,0,-1.2827281667186554,1,1,0,0,0,0,1,1,0,1,0.9461615260527172,-0.9677499026166828,0,1,0,0,0,1,0,-0.4114353864641549,4,0,1,0,0.9585,0.1502,1,High
1,0,0,0,-0.3452237310565796,1,0,0,0,0,0,0,0,2,0,-1.466794172303774,-0.7940337745008653,0,0,1,0,0,0,1,-1.30329566583533,1,1,0,0,0.0091,0.2332,0,Low
1,0,1,1,0.5107585797653155,1,1,1,1,0,1,1,0,2,0,0.2992698881060078,0.4783182957965616,1,0,0,0,1,0,0,0.4626992929489623,6,2,0,1,0.0031,0.237,0,Low
1,1,1,0,-0.9974007297780236,1,0,0,0,1,1,0,1,0,1,-0.015029648068614,-0.7522757261804536,1,0,0,0,1,0,0,0.1787614417689597,4,0,0,1,0.0882,0.1884,0,Low
1,0,0,0,-0.8751175425177529,1,0,0,0,1,0,0,0,0,0,0.2676736384376599,-0.6478254574022446,0,1,0,0,0,1,0,0.2959473526027875,2,0,0,0,0.6755,0.1291,0,High
0,0,0,0,-1.078922854618204,1,0,0,0,0,1,0,0,0,1,-0.5056029981824426,-0.8909618591917736,1,0,0,1,0,0,0,-0.6891364524737295,2,0,0,1,0.6427,0.1516,1,High
