Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Charges Per Month,Num Services,Tenure Group,High Value Customer,Auto Payment
-0.07530523,-0.06940692,0.065447584,0.27863118,0.23357795,-0.08311013,0.043579772,0.1475826,0.12506254,0.09579139,0.13497633,0.056621872,0.07065088,0.6961308,0.0711456,0.028740691,-0.10009586,0.009361208,0.19486058,0.06414364,0.04221687,0.0488549,-0.13772982,0.07236695,-0.14764258,-0.12233422,0.19438417,0.014516861,0.11223997
-0.17694467,-0.17365746,0.029051846,0.2106908,-0.24540631,-0.05512066,-0.09117741,0.09569945,0.14376412,-0.4539823,0.17504169,-0.13071343,-0.09437666,0.55354565,0.029337017,0.68875766,-0.16090982,0.009678961,0.28277636,0.033993453,0.047996227,-0.5069614,0.12588078,0.038815893,-0.30477968,0.07451036,-0.03782494,-0.005060548,-0.33159068
0.1170152,0.008843289,0.09545901,-1.5835638,0.8363561,-0.067453906,0.03899522,0.14301342,0.12453312,0.018141476,0.0698506,0.040237527,0.047206048,0.69840896,-0.1220362,-0.09241417,-0.059790708,-0.029284764,-0.18557477,0.05661824,0.034221187,0.038196106,0.10461295,-0.5996663,0.00448608,-0.060891856,0.20499007,0.007590131,0.09436665
0.11198048,0.040845938,-0.02640018,0.3112599,-0.28223008,-0.04833269,0.0911979,-0.3649098,-0.22277872,-0.42804942,-0.29312178,-0.101178534,-0.12178671,-0.52413523,0.034054965,-0.036655407,0.2408479,-0.024584936,-0.18616207,0.015500982,-0.4989005,0.05752929,0.12751836,0.06488028,-0.10854763,0.22200619,-0.072109185,0.012889878,-0.14086972
0.15220918,0.074880935,0.053947836,0.32363242,-0.01761628,-0.034278754,0.07884396,-0.19983616,-0.13815723,-0.22142622,-0.14086303,0.16152285,-0.10593872,-0.24945672,0.19681135,-0.0013424021,0.0070528,0.01678335,-0.083897024,0.015835002,0.120314755,-0.20184377,0.16054055,0.1567827,0.032638114,0.25987086,-0.46648467,0.0039018732,-0.09949291
0.11576483,-0.20747273,0.001725199,0.36311448,-0.09367615,-0.02375804,-0.037282392,0.11639018,0.18344967,-0.2886339,-0.41175994,-0.14723727,-0.067401275,-0.8878108,0.016728334,0.89352834,-0.17447479,0.014642071,0.14336433,0.02298599,0.06753017,-0.28469235,0.11496267,0.068801805,0.1106432,0.17626342,-0.13743941,-0.008174252,-0.13343336
0.15749039,0.03640012,-0.014094273,0.17871344,-0.04827602,-0.06271864,-0.001050056,0.11146514,0.056755707,0.08398294,0.07143337,0.052297104,0.053709257,0.5674602,0.0043754606,-1.0714295,-0.09857809,-0.029435456,-0.39341286,-0.5624472,0.0405184,-0.76376325,0.18780315,0.074476674,-0.39785758,-0.11187773,0.16024582,0.0029873208,-0.16099365
-0.096646234,0.018366734,0.0016276549,0.2436952,0.6820202,-0.06325924,-0.049297657,0.15699498,0.2226589,0.092986636,0.18224536,-0.053957157,-0.14670408,0.7173482,0.06655431,0.48929667,-0.009323281,0.00827915,0.2391743,0.068890154,0.01967519,0.057141833,-0.16145422,0.073993735,-0.018044805,0.08043116,0.23346137,-0.006466137,0.09647012
-0.12907293,0.03160469,-0.012034837,0.2114515,-0.5210855,-0.06649686,-0.002126046,0.094987296,0.11209252,0.05350128,0.08238115,0.027371392,0.06075519,-1.8295082,-0.047957737,-0.88667774,-0.54019624,0.020281322,-0.31846577,-0.16350368,0.034962878,0.08401145,0.118450545,-0.6140127,-0.40371504,-0.14170548,-0.045793917,0.006787968,0.10083892
-0.20655018,0.0073936903,-0.02007736,-1.8064712,-0.3107219,-0.047976993,-0.07932601,-0.1581823,-0.21605594,0.05062388,-0.17028132,-0.21199256,0.039462816,-1.8766794,0.050208177,-0.095265955,-0.30840415,-0.009472693,-0.092972524,0.013393343,0.07573128,-0.31309205,0.101618856,0.064907536,-0.17409822,0.15668131,-0.12743214,0.00060652697,-0.088403836
-0.32681808,-0.20469472,0.02540408,0.18404664,-0.108215846,-0.1520926,-0.042721257,0.09163494,0.08495663,-0.345999,-0.39371708,0.067355774,-0.2623743,0.48458594,0.059770267,-0.60032994,-0.26302496,0.008646292,-0.30756262,0.05314271,0.06720452,-0.40396458,0.12406938,0.026234105,-0.23559414,0.09322638,0.18460521,0.012910316,-0.24910693
-0.14034806,0.08108032,-0.038104165,0.23419401,-0.1239732,-0.07326669,-0.0067160204,0.133582,0.12073521,-0.2624358,0.13403517,0.0036682654,0.11187558,0.60876286,-0.15696791,-0.17435774,-0.07414682,0.010420178,0.19172075,0.048082396,0.036138985,0.081747405,-0.12511715,0.11405242,-0.19873522,-0.12778875,0.19996521,0.0079752905,0.12477956
0.12541983,0.07037613,0.0054033315,0.19239944,0.21985747,-0.062657095,0.006525282,0.09168917,0.16644086,0.06382103,-0.4997258,0.054193746,0.10094542,0.6444428,0.035950866,-0.49158815,-0.052023463,-0.019129599,-0.21904396,0.091171496,-0.27521008,0.03191095,0.08665667,0.10644375,0.20943828,-0.09851867,0.18700932,0.0056715095,-0.18324208
-0.08612728,0.0009198118,-0.015160211,-1.3669556,0.54725134,-0.034987118,0.033118643,0.08806007,0.045421388,0.056134146,0.057469785,0.03023534,0.022049597,-1.4925275,-0.042677853,-0.6157199,-0.09800295,0.0006935294,-0.11946908,-0.18440366,0.031052658,-0.61889756,0.13032557,-0.02861225,0.054716308,-0.09140278,0.18420482,0.0077227,-0.11653349
-0.27974835,0.022944676,-0.004770827,0.25482774,-0.43236053,-0.073575564,-0.002143472,0.15554583,-0.11546436,-0.4682476,0.111993566,0.10816804,0.0800276,0.5111845,0.06184559,-0.069820374,0.18264115,0.0029398506,0.20570546,0.029852739,0.07786834,-0.49365625,0.06301305,0.06393476,-0.15926684,-0.003945507,-0.19431649,0.00876488,-0.32461777
0.1059289,0.016049352,0.38186628,-2.3765686,-0.38548374,-0.06545095,-0.051689174,0.07411983,-0.3283508,0.06371288,0.10959251,-0.1904064,-0.008791939,0.5698689,0.02420058,-0.034462154,-0.6659707,0.023885615,0.14462873,0.02072063,-0.24940483,0.05320753,0.15519552,0.050740622,-0.25643602,0.040213283,-0.1617239,0.012621683,-0.20367688
-0.054809194,0.009120806,-0.0021927606,0.22014332,-0.397242,-0.07162044,0.04075649,0.13003303,0.098403655,0.057928205,0.069561675,0.029044857,0.04017856,-1.94958,0.020417111,-0.6182874,-0.3184496,0.01938022,-0.29517955,-0.15427078,0.024825707,0.096108876,0.09387323,-0.36220518,-0.060109057,-0.12933995,-0.46741194,0.005670735,0.17519552
-0.08812386,0.019221146,-0.017823782,-2.4105654,-0.22535206,-0.04480264,0.014848179,0.09718125,-0.25373098,-0.17983614,0.098029956,-0.08421836,-0.11400712,-1.0595933,0.0121570695,0.6938342,0.0034622874,0.0011238594,0.10098296,0.01594352,0.04147127,0.05488331,0.095647946,-0.40701753,-0.047981136,0.18283735,-0.057943612,-0.0042866794,0.13917805
-0.13131928,0.043023612,0.03561402,0.22599839,-0.02068196,-0.04016578,-0.024808401,-0.31867367,-0.240798,-0.35211283,-0.29194158,-0.111216374,-0.09736508,-1.6292592,-0.10220998,0.06868377,-0.05106771,-0.020858595,-0.1476009,0.01801953,0.017665816,-0.26286474,0.107324734,0.115055874,-0.1643329,0.09005694,-0.36028075,-0.00624683,-0.07569964
0.038461655,-0.0017138158,-0.0070037553,0.16402261,0.6262475,-0.04510244,0.047742393,0.16724277,0.099823594,0.047512304,0.07995794,0.028056603,0.02047262,0.6388619,-0.17756,-0.49327385,-0.2837157,0.013074373,-0.35967398,-0.24575995,0.037739407,0.09723076,0.20111942,-0.34359992,0.14804848,-0.066647016,0.1766558,0.00689613,0.11969266
-0.10454885,0.03429373,-0.00982068,0.23750095,-0.32612595,-0.07135936,0.020573592,0.13207975,0.074702576,0.081364654,0.05789725,0.014315136,0.060570933,-0.96255356,-0.10486992,-0.78527725,-0.63207704,0.017365819,-0.3395236,-0.13673213,0.049303014,0.107356414,0.17412052,-0.5952878,-0.40263233,-0.17565198,-0.1427568,0.007273175,0.115816176
0.086233415,0.049916416,0.028231246,0.38295144,-0.11963815,-0.020241883,-0.054036137,0.13200031,0.24923246,-0.2642909,-0.32140082,-0.13639256,-0.029814348,-0.9270299,0.031536486,1.3064742,-0.19146998,0.016508328,0.14467803,0.02298599,0.06045886,-0.32574385,0.09913182,0.0999961,0.29680887,0.23284434,-0.11468437,-0.00010802146,-0.14348637
0.11776551,0.11162267,-0.16352898,-2.3961914,0.08470357,-0.07361176,0.031067273,0.07478759,-0.1455072,0.105865784,0.08481623,0.16091855,0.06709542,0.5902444,0.03780237,0.078818515,-0.07843725,0.007995356,0.114952825,0.034568217,0.05397042,-0.20184033,0.150848,0.078713335,-0.06428389,0.013811071,0.19912204,0.008846502,-0.15678427
-0.07206552,-0.02574204,-0.0026203147,0.22699155,0.02729935,-0.076106824,0.046270113,0.13771151,0.15542568,0.14337817,0.14993232,0.038782343,0.04863975,0.6452562,0.05749671,0.020363223,0.03805064,0.020287475,0.20674919,0.05142972,-0.2282888,0.06157802,0.1439907,0.08301825,-0.06867814,-0.11215396,-0.051550288,0.016020874,-0.25584638
-0.1082685,0.025880383,-0.002822969,-2.4816067,-0.40928763,-0.03381993,0.029960077,0.1130632,-0.15684709,-0.15349412,-0.38268626,0.091589175,0.048316013,-0.7907344,-0.018230965,-0.044966873,-0.37046307,0.0024268676,0.045230612,0.013742672,0.041313414,0.055926185,0.082700476,-0.5245496,-0.17478171,0.17383504,-0.5584687,0.018399023,0.11009404
0.02977927,0.046359725,-0.017268557,0.24834833,0.074513465,-0.101073295,0.01125052,0.09787001,0.121189326,0.038498204,0.09380269,0.06597133,0.06368803,0.67912096,0.06960854,-0.64548737,-0.13671404,0.050527748,-0.21039203,0.13312232,0.038173206,0.03079839,-0.059253804,0.12307412,0.20815794,-0.07093021,0.19344775,0.008489585,0.09361414
-0.31100607,0.027875062,-0.003222736,0.16247603,-0.01069523,-0.10204274,0.026948726,0.14899154,0.16217788,0.0897282,-0.54447716,0.0441223,-0.19697657,0.5626016,-0.19604264,-0.4417181,-0.069888666,0.0005048153,-0.27017242,0.08434421,0.0394281,0.035200886,0.14982268,-0.5703008,-0.24527821,0.07689551,0.16623399,0.0067421645,0.11633278
0.08175168,0.06112678,0.035225205,0.3075745,-0.20132558,-0.043008156,-0.0272538,0.20206247,-0.30317158,-0.38657185,0.20200554,-0.08646336,-0.06422184,0.49027014,-0.006142659,1.089571,-0.11999457,0.010044456,0.27752435,0.03217416,0.035809606,-0.39152348,0.11107067,0.13150649,0.19507787,0.14131105,-0.41076335,0.004366703,-0.20798542
